Country Code,Life expectancy at birth (years)
AFG,Low
ALB,High
DZA,High
AGO,Low
ATG,Medium
ARG,High
ARM,Medium
AUS,High
AUT,High
AZE,Medium
BHS,High
BHR,High
BGD,Medium
BRB,High
BLR,Medium
BEL,High
BLZ,Medium
BEN,Low
BTN,Medium
BOL,Medium
BIH,High
BWA,Low
BRA,High
BRN,High
BGR,Medium
BFA,Low
BDI,Low
CPV,Medium
KHM,Medium
CMR,Low
CAN,High
CAF,Low
TCD,Low
CHL,High
CHN,High
COL,High
COM,Low
COG,Low
CRI,High
HRV,High
CUB,High
CYP,High
CZE,High
CIV,Low
PRK,Medium
COD,Low
DNK,High
DJI,Low
DOM,Medium
ECU,High
EGY,Medium
SLV,Medium
GNQ,Low
ERI,Low
EST,High
SWZ,Low
ETH,Low
FJI,Medium
FIN,High
FRA,High
GAB,Low
GMB,Low
GEO,Medium
DEU,High
GHA,Low
GRC,High
GRD,Medium
GTM,Medium
GIN,Low
GNB,Low
GUY,Low
HTI,Low
HND,High
HUN,High
ISL,High
IND,Medium
IDN,Medium
IRN,High
IRQ,Medium
IRL,High
ISR,High
ITA,High
JAM,High
JPN,High
JOR,Medium
KAZ,Medium
KEN,Low
KIR,Low
KWT,Medium
KGZ,Medium
LAO,Low
LVA,Medium
LBN,High
LSO,Low
LBR,Low
LBY,Medium
LTU,Medium
LUX,High
MDG,Low
MWI,Low
MYS,High
MDV,High
MLI,Low
MLT,High
MRT,Low
MUS,Medium
MEX,High
FSM,Medium
MNG,Medium
MNE,High
MAR,High
MOZ,Low
MMR,Low
NAM,Low
NPL,Medium
NLD,High
NZL,High
NIC,High
NER,Low
NGA,Low
NOR,High
OMN,High
PAK,Low
PAN,High
PNG,Low
PRY,Medium
PER,High
PHL,Medium
POL,High
PRT,High
QAT,High
KOR,High
MDA,Medium
MKD,High
ROU,High
RUS,Medium
RWA,Medium
LCA,High
VCT,Medium
WSM,High
STP,Medium
SAU,Medium
SEN,Low
SRB,High
SYC,Medium
SLE,Low
SGP,High
SVK,High
SVN,High
SLB,Medium
SOM,Low
ZAF,Low
SSD,Low
ESP,High
LKA,High
SDN,Low
SUR,Medium
SWE,High
CHE,High
SYR,Low
TJK,Medium
THA,High
TLS,Medium
TGO,Low
TON,Medium
TTO,Medium
TUN,High
TUR,High
TKM,Medium
UGA,Low
UKR,Medium
ARE,High
GBR,High
TZA,Low
USA,High
URY,High
UZB,Medium
VUT,Medium
VEN,Medium
VNM,High
YEM,Low
ZMB,Low
ZWE,Low
