Name,ASX_Code,Date,SharePrice,MarketCapitalization,DividendYield,PriceEarnings,EarningsPerShare,DebtEquity,NetTangibleAssets,AUD,GICS_IndustryGroup,AllOrdinaries,GoldPrice
BHP BILLITON LIMITED,BHP,19980630,13.65,28156180866,3.73,57.35,23.8,89.9,0,0.614,MATERIALS,2608.2,296.3
BHP BILLITON LIMITED,BHP,19990630,17.5,30431849683,2.05,0,-109.2,126.5,6.65,0.662,MATERIALS,2963,261
BHP BILLITON LIMITED,BHP,20000630,19.75,35003730603,2.58,0,-97.3,134.2,5.46,0.601,MATERIALS,3115.9,288.15
BHP BILLITON LIMITED,BHP,20010629,10.39,18597949459,4.81,9.49,109.4,81.8,5.83,0.509,MATERIALS,3352.4,270.6
BHP BILLITON LIMITED,BHP,20020628,10.3,38298117789,2.4,18.93,54.4,56.5,0,0.564,MATERIALS,3244.2,318.5
BHP BILLITON LIMITED,BHP,20030630,8.64,32373793230,2.82,24.85,34.76,61,3.25,0.669,MATERIALS,3031.3,346
BHP BILLITON LIMITED,BHP,20040625,12.37,46498199736,1.838318513,24.59733545,50.29,61,0,0.697,MATERIALS,3497.3,395.8
BHP BILLITON LIMITED,BHP,20050630,18.09,64894445208,1.68,17.31,104.48,42,3.2,0.7564,MATERIALS,4196.7,437.1
BHP BILLITON LIMITED,BHP,20060630,29,1.01E+11,1.48,16.88304128,171.77,59.5,4.72,0.7483,MATERIALS,4933.2,613.5
BHP BILLITON LIMITED,BHP,20070629,35.03,1.18E+11,1.428489866,13.1671929,266.04,37.2,5.86,0.8483,MATERIALS,6310.6,650.5
